question	answers	ground_truth
what is the net change in net revenue during 2015 for entergy corporation?	6.0	94
what percentage of total facilities as measured in square feet are leased?	6.0	14.46%
what is the percentage change in cash flow hedges in 2011 compare to the 2010?	6.0	9.9%
what portion of total purchase price is related to stock awards?	6.0	2.9%
what was the difference in percentage cumulative total shareholder return on masco common stock versus the s&p 500 index for the five year period ended 2017?	6.0	111%
what was the percentage change in total rental expense under operating leases from july 2 , 2005 to july 1 , 2006?	6.0	7%
what percent of total recourse debt is current?	6.0	10%
what percentage of future minimum rental payments are due in 2018?	6.0	11.68%
did altria outperform the s&p 500?	6.0	yes
what was the change in unrecognized tax benefits from the end of 2014 to the end of 2015?	6.0	-35
what is the growth rate in the balance of standby letters of credit from 2006 to 2007?	6.0	-4.3%
what is the debt-to-asset ratio?	6.0	22.44
what portion of the total noncancelable future lease commitments are due in fiscal year of 2019?	6.0	24.56%
was the five year total return of the 2019 peer group greater than the 2018 peer group?	6.0	no
what was the percentage change in deferred tax assets and regulatory assets from 2013 to 2014	6.0	1.7%
what was the average net annual change in discounted future net cash flows ( in millions ) for the years 2011 , 2010 , and 2009?	6.0	3297
assuming each continent has the same number of destinations , approximately how many destinations does each continent have?	6.0	65
what was the average net revenue between 2016 and 2017 in millions	6.0	704.25
the combined amount of accrued interest and penalties related to tax positions taken on our tax returns and included in non-current income taxes payable was what percent of the total ending balance as of november 28 2008?	6.0	10.97%
in 2010 and 2009 , what was the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers?	6.0	68.9
what was the percentage change in the commercial mortgage loans designated for sale at fair value from 2008 to 2009	6.0	-8.4%
what was the difference in percentage cumulative 5-year total shareholder return on common stock fidelity national information services , inc . compared to the s&p 500 for the period ending 12/16?	6.0	113.63%
for the quarter ended march 312015 what was the percentage change in the share price from the highest to the lowest	6.0	9.3%
of the total contractual obligations and off-balance sheet arrangements contractual obligations what percentage is due to capital lease obligations?	6.0	1.74%
