,Unnamed: 0,question,answer,cluster,index
4398,4398,An adult panda can eat 138 pounds of bamboo each day. A baby panda can eat 50 pounds of bamboo a day.  How many pounds of bamboo will the pandas eat in a week?,"An adult panda will eat 138 pounds of bamboo * 7 days = <<138*7=966>>966 pounds.
A baby panda will eat 50 pounds * 7 days = <<50*7=350>>350 pounds.
Total the pandas will eat 966 pounds + 350 = <<966+350=1316>>1316 pounds of bamboo.
#### 1316",0,1298
6392,6392,Ariana is past due on three bills. The first bill for $200 charges 10% simple interest for each overdue month and it's 2 months overdue. The second bill for $130 charges a flat $50 late fee per month and is 6 months overdue. The last bill is two months late and charges a $40 fee the first month overdue and twice that fee the second month overdue and is for $444. How much does Ariana owe in total?,"First find the monthly late fee for the first bill: $200 * 10% = $<<200*10*.01=20>>20
Then multiply that by the number of months the bill is overdue: $20/month * 2 months = $<<20*2=40>>40
Then find the total late fee for the second bill the same way: $50/month * 6 months = $<<50*6=300>>300
Then find the third bill's second late fee: 2 * $40 = $<<2*40=80>>80
Then add all the bill amounts and late fees to find the total cost: $40 + $200 + $300 + $130 + $40 + $80 + $444 = $<<40+200+300+130+40+80+444=1234>>1234
#### 1234",1,2779
3893,3893,"Rocco stores his coins in piles of 10 coins each. He has 4 piles of quarters, 6 piles of dimes, 9 piles of nickels, and 5 piles of pennies. How much money does Rocco have?","Each pile has 10 coins, so he has:
10 * 4 * $.25 = $<<10*4*.25=10.00>>10.00 worth of quarters,
10 * 6 * $.10 = $<<10*6*.10=6.00>>6.00 worth of dimes,
10 * 9 * $.05 = $<<10*9*.05=4.50>>4.50 worth of nickels, and
10 * 5 * $.01 = $<<10*5*.01=0.50>>0.50 worth of pennies.
Altogether he has $10.00 + $6.00 + $4.50 + $0.50 = $<<10+6+4.5+0.5=21.00>>21.00
#### 21",2,171
3678,3678,Tom plants a tree that is 1 year old and 5 feet tall.  It gains 3 feet per year.  How old is it when it is 23 feet tall?,"It has grown 23-5=<<23-5=18>>18 feet
So it is 18/3=<<18/3=6>>6 years older
That means it is 6+1=<<6+1=7>>7 years old
#### 7",3,2473
6895,6895,"John and James decided to have a dance-off.  John danced for 3 hours and then another 5 hours after taking a 1-hour break.  James danced the whole time John was dancing and resting, and then another 1/3 times more hours.  How long was their combined dancing time without including  John's break time?","John dances 3+5=<<3+5=8>>8 hours
John's total time is 3+5+1=<<3+5+1=9>>9 hours
James dances 9/3=<<9/3=3>>3 hours longer than that
So James dances 9+3=<<9+3=12>>12 hours
So the total dancing time is 8+12=<<8+12=20>>20 hours
#### 20",4,4946
2454,2454,"In a classroom of 81 students, two-thirds are wearing striped shirts while the others are wearing checkered shirts. If there are 19 more students wearing shorts than checkered shirts, how many more students are wearing striped shirts than shorts?","81/3 = <<81/3=27>>27 students are wearing checkered shirts.
27 x 2 = <<27*2=54>>54 students are wearing striped shirts.
27 + 19 = <<27+19=46>>46 students are wearing shorts.
54 - 46 = <<54-46=8>>8 more students are wearing striped shirts than shorts.
#### 8",0,5081
2180,2180,"A group of six friends planned to buy a car. The cost of the car is $1700 and they plan to share the cost equally. They had a car wash to help raise funds, which would be taken out of the total cost. The remaining cost would be split between the six friends. At the car wash, they earn $500. However, Brad decided not to join in the purchase of the car. How much more does each friend have to pay now that Brad isn't participating?","Start by finding the total that is left, $1700 car price - $500 earned at car wash = $<<1700-500=1200>>1200 remaining.
So the six friends should pay $1200 / 6 people = $<<1200/6=200>>200 each.
Since Brad is not joining, then the 5 friends have to split Brad's share which is $200/5 = $<<200/5=40>>40 each.
#### 40",1,4265
3471,3471,"Teddy is a pillow-maker.  He uses 3 less than 5 pounds of fluffy foam material to make each pillow.  If Teddy has three tons of fluffy foam material, how many pillows can he make?","Three less than 5 is 5-3=<<5-3=2>>2.
Since one ton is 2000 pounds, three tons is 2000*3=<<6000=6000>>6000 pounds.
Thus, in 6000 pounds, he can make 6000/2=<<6000/2=3000>>3000 pillows.
#### 3,000",2,2361
3722,3722,"Jorge is 24 years younger than Simon. In 2005, Jorge is 16 years old. In 2010, how old would Simon be?","In 2005, Simon was 16+24 = <<16+24=40>>40 years old.
There are 2010-2005 = <<2010-2005=5>>5 years between 2005 and 2010.
In 2010 Simon would be 40+5 = 45 years old.
#### 45",3,1556
3637,3637,"Gretchen is a scuba diver.  She likes to hunt for treasure on the ocean's floor, but when she finds something to keep, she must carry it back to the surface of the water to give it to her shipmate on the boat.  She can only carry 3 objects at a time while she swims underwater.  If she finds 17 objects underwater, what is the fewest number of trips to the surface of the water she must take to carry all 17 objects to the boat?","To carry 17 objects, three at a time, it takes 17/3 = 5 and 2/3 loads.
This calculation means that she takes 5 trips carrying 3 objects per trip, and then she takes one additional trip carrying only two objects.
Thus, in reality, she takes 5 + 1 = <<5+1=6>>6 trips to the surface.
#### 6",4,4400
