question	answers	ground_truth
Does Rusev have to worry about human overpopulation in his homeland?	No	Yes
Was Eve involved in an incestuous relationship?	No	Yes
Does The Hague border multiple bodies of water?	No	Yes
Could casualties from deadliest war rival France's population?	No	Yes
Is letter C crucial to spelling the two most common words in English language?	No	Yes
Would Rime of the Ancient Mariner make a good sonnet?	No	Yes
Can a rabbi save the soul of a Christian?	No	Yes
Is it normal to see a red panda in Shanghai outside of a zoo?	No	Yes
Would costumes with robes and pointy hats be helpful for Macbeth?	No	Yes
Would food made with black salt smell of sulfur?	No	Yes
Did Bruiser Brody wrestle on WWE Raw?	No	Yes
Does Steven Spielberg's 1998 film take place in a period after War Horse setting?	No	Yes
Are Donkeys part of Christmas celebrations?	No	Yes
Is Glycol something United Airlines would buy?	No	Yes
Can you taste Law & Order?	No	Yes
Is LG Electronics located in a city with an official bird that has a purplish/blue tail?	No	Yes
Are Aldi's foods discounted due to being out of date?	No	Yes
Can olive oil kill rabies?	No	Yes
Is Europa (moon) name origin related to Amunet?	No	Yes
Is Michael an unpopular name in the United States?	No	Yes
Can Kit & Kaboodle hypothetically help someone past the Underworld gates?	No	Yes
Could Lil Wayne's children ride in a Chevrolet Corvette ZR1 together?	No	Yes
Could an infant solve a sudoku puzzle?	No	Yes
Does the Roman god Vulcan have a Greek equivalent?	No	Yes
